# in0; in1; out0; out1; out2; out3; currentDrain
0;2.5;0;0;2.26784;2.49756;0
0.5;2.5;0.483871;0.0439883;2.26784;2.49756;0.000785505
1;2.5;0.982405;0.332356;2.26784;2.49756;0.0011608
1.5;2.5;1.48583;0.801564;2.26784;2.49756;0.0012219
2;2.5;1.98925;1.28055;2.26784;2.49756;0.00126554
2.5;2.5;2.49267;1.75953;2.26784;2.49756;0.00130917
3;2.5;2.9912;2.23363;2.26784;2.49756;0.00135281
3.5;2.5;3.49951;2.70772;2.26784;2.49756;0.00141391
4;2.5;3.99316;3.19159;2.27273;2.49756;0.00143136
4.5;2.5;4.49169;3.6608;2.27273;2.49756;0.00148373
5;2.5;4.99511;4.14467;2.27273;2.49756;0.00151864
